time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488893571,1.081825,0.829065,0.605631,0.427505,0.261146,0,0.785,1.249,1.107,0
1488893580,1.084787,0.830177,0.609318,0.4279,0.262593,-0.785,0.785,0,1.107,0
1488893591,1.086448,0.833452,0.606837,0.427245,0.261532,0,-0.785,0.785,0,0
1488893602,1.085618,0.832648,0.61007,0.428049,0.261743,0.785,0.785,0,0,0
1488893612,1.089336,0.83581,0.608789,0.429207,0.262022,-0.785,0,0.785,1.107,0
,1.0856028,0.8322304,0.608129,0.4279812,0.2618072,,,,,
,0.5428014,0.4161152,0.3040645,0.2139906,0.1309036,,,,,
,1550.861143,1188.900571,868.7557143,611.4017143,374.0102857,,,,,
