time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303379,0.529189,0.53343,0.532651,0.513826,0.425837,-0.785,0,-0.785,-0.785,-0.785
1488303391,0.529933,0.533318,0.532671,0.51416,0.425757,-0.785,-0.785,-0.785,-0.785,-0.785
1488303402,0.528438,0.533351,0.53361,0.514089,0.425822,-0.785,-0.785,-0.785,-0.785,-0.785
1488303413,0.528368,0.533629,0.53361,0.517457,0.425806,-1.107,-0.785,-0.785,0,-0.785
1488303425,0.528357,0.533497,0.532646,0.51407,0.425822,-1.107,-0.785,0,-0.785,-0.785
,0.528857,0.533445,0.5330376,0.5147204,0.4258088,,,,,
