time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303614,1.369568,1.437375,1.415102,1.329753,1.031049,0,-1.107,0,-0.785,0
1488303626,1.355231,1.426152,1.415153,1.32243,1.031393,-0.785,-0.785,0,0,0
1488303637,1.318566,1.43355,1.413007,1.322408,1.028549,-0.785,0,0,0,0
1488303649,1.373808,1.408962,1.412671,1.329375,1.031338,-0.785,0,-0.785,-0.785,0
1488303660,1.377193,1.406194,1.415149,1.32976,1.031266,-0.785,-0.785,0,-0.785,0
,1.3588732,1.4224466,1.4142164,1.3267452,1.030719,,,,,
