time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488564320.909,0.893061,0.317998,0.071176,0.017588,0.005936,-0.785,0.785,-0.785,0.000,-0.785
1488564330.027,0.897251,0.318972,0.069897,0.017712,0.005936,-0.785,0.000,0.000,0.000,-0.785
1488564338.576,0.886204,0.313625,0.069382,0.017681,0.005881,-0.785,-0.785,0.785,0.000,0.000
1488564346.628,0.886983,0.319722,0.072180,0.018196,0.005881,-0.785,0.785,-0.785,-0.785,0.000
1488564355.070,0.900237,0.319796,0.071284,0.018196,0.005881,0.000,-0.785,0.000,-0.785,0.000
