time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483628413.980,0.002460,0.006708,0.009666,0.014964,0.020550,-0.785,-0.785,-0.785,-0.785,-1.107
1483628419.877,0.004109,0.003439,0.008205,0.013904,0.020550,-0.785,-1.373,-1.107,-0.785,-1.107
1483628425.720,0.003782,0.005905,0.008791,0.014449,0.021356,-0.785,-0.785,-1.107,-0.785,-0.785
1483628431.593,0.003944,0.005821,0.009454,0.014313,0.021296,-0.785,-0.785,-0.785,-0.785,-0.785
1483628437.474,0.004278,0.005063,0.009867,0.014402,0.021448,-0.785,-0.785,-0.785,-0.785,-0.785
