time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303522,1.053398,1.061504,1.059516,1.017493,0.789564,-0.785,-1.107,0,0,0
1488303534,1.050781,1.06104,1.059492,1.017519,0.789538,-1.107,-0.785,0,0,0
1488303545,1.052988,1.061504,1.059246,1.024261,0.789582,0,-1.107,-0.785,-0.785,0
1488303556,1.052267,1.060642,1.059338,1.017922,0.791623,0,-0.785,-0.785,0,0
1488303567,1.053006,1.06071,1.059338,1.023933,0.791507,0,-0.785,-0.785,-0.785,0
,1.052488,1.06108,1.059386,1.0202256,0.7903628,,,,,
