time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488894127,0.8599,0.696835,0.533607,0.423523,0.270503,0,0,0,-0.785,0.785
1488894141,0.919033,0.762967,0.599631,0.432038,0.240893,0,0,0,0,0.785
1488894152,0.864248,0.70019,0.536429,0.391193,0.247283,0,0,-0.785,-0.785,0
1488894162,0.865957,0.699987,0.533956,0.390082,0.247366,0,0,1.107,0,0
1488894173,0.86915,0.700749,0.535294,0.390477,0.247473,0,0,0.785,0,0
,0.8756576,0.7121456,0.5477834,0.4054626,0.2507036,,,,,
,0.4378288,0.3560728,0.2738917,0.2027313,0.1253518,,,,,
,1250.939429,1017.350857,782.5477143,579.2322857,358.148,,,,,
