time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488559472.514,0.140365,0.072503,0.035157,0.018895,0.006175,1.518,0.785,1.525,0.785,-1.554
1488559478.067,0.140122,0.071407,0.036264,0.018895,0.006124,-1.525,1.249,1.107,0.785,-1.546
1488559486.278,0.141244,0.070818,0.035157,0.016922,0.006124,1.107,1.488,1.525,1.536,-1.546
1488559493.530,0.140939,0.070818,0.037277,0.016976,0.006226,1.249,1.488,0.000,1.534,-1.554
1488559499.042,0.140124,0.069726,0.034059,0.018895,0.006124,-1.525,-1.326,-1.249,0.785,-1.546
