time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488815416,0.140639,0.133246,0.109235,0.069799,0.030825,0,-0.785,0,1.107,-1.512
1488815423,0.140017,0.132035,0.110252,0.069837,0.030825,0,0.785,-0.785,1.107,-1.512
1488815430,0.140635,0.132972,0.110007,0.071313,0.030825,0,0,0,0,-1.512
1488815436,0.139933,0.133205,0.109238,0.069818,0.03077,-0.785,-0.785,0,1.107,-1.512
1488815443,0.140305,0.133205,0.108359,0.069818,0.03077,-0.785,-0.785,1.107,1.107,-1.512
,0.1403058,0.1329326,0.1094182,0.070117,0.030803,,,,,
