time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488815972,0.142873,0.141956,0.133448,0.108953,0.062612,0,0,0.785,1.107,0
1488815979,0.143265,0.141338,0.13342,0.109002,0.062612,-0.785,0.785,0.785,1.107,0
1488815986,0.142661,0.142084,0.134849,0.108953,0.062612,0,0,0,1.107,0
1488815994,0.142082,0.142084,0.134922,0.110305,0.062779,-0.785,0,-0.785,0,0
1488816001,0.142401,0.141303,0.134822,0.110327,0.062749,-0.785,0.785,0,0,0
,0.1426564,0.141753,0.1342922,0.109508,0.0626728,,,,,
