time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488820905,0.103738,0.066321,0.037088,0.017612,0.006761,0,0.785,0.785,1.446,1.499
1488820911,0.103538,0.0653,0.035959,0.017606,0.006764,0,1.406,1.249,1.446,1.494
1488820916,0.10315,0.064738,0.034862,0.019664,0.006761,0,-1.535,-1.471,0,1.499
1488820921,0.103859,0.06761,0.035974,0.017606,0.006764,0,0,1.249,1.446,1.494
1488820927,0.10315,0.06474,0.034862,0.017606,0.006761,0,-1.534,-1.471,1.446,1.499
,0.103487,0.0657418,0.035749,0.0180188,0.0067622,,,,,
