time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303451,0.707048,0.713362,0.711898,0.691297,0.559876,0,0,0,0,-0.785
1488303462,0.707702,0.713258,0.712949,0.686491,0.559592,0,0,-0.785,-0.785,-0.785
1488303473,0.707132,0.712966,0.712988,0.691465,0.559592,0,-0.785,-0.785,0,-0.785
1488303485,0.70663,0.712856,0.711853,0.691596,0.55989,0,-0.785,0,0,-0.785
1488303496,0.707457,0.713027,0.712962,0.686603,0.559621,0,-0.785,-0.785,-0.785,-0.785
,0.7071938,0.7130938,0.71253,0.6894904,0.5597142,,,,,
