time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488815242,0.072642,0.071733,0.068197,0.053981,0.028409,0,0,0,0.785,1.373
1488815248,0.073069,0.072433,0.067117,0.053948,0.02845,0,-0.785,0.785,0.785,1.373
1488815254,0.072953,0.072254,0.068193,0.054857,0.028409,-0.785,-0.785,0,0,1.373
1488815260,0.072785,0.071733,0.067117,0.053948,0.02845,0,0,0.785,0.785,1.373
1488815266,0.073158,0.072478,0.068051,0.053942,0.028409,0,-0.785,-0.785,0.785,1.373
,0.0729214,0.0721262,0.067735,0.0541352,0.0284254,,,,,
