time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488559331.298,1.337002,0.696521,0.349203,0.169288,0.070644,-1.373,1.107,0.785,1.326,1.107
1488559340.640,1.306343,0.694310,0.349167,0.166756,0.070577,0.000,-1.107,0.785,-1.107,1.107
1488559349.900,1.371558,0.694966,0.346021,0.166912,0.070637,0.785,-1.326,-1.107,-1.107,1.107
1488559359.109,1.409528,0.698181,0.345959,0.169232,0.070674,0.785,0.785,-1.107,1.326,1.107
1488559367.634,1.320886,0.695141,0.349167,0.166784,0.070655,-1.249,-1.512,0.785,-1.107,1.107
