time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483628477.606,0.004885,0.005393,0.010335,0.016083,0.023190,-0.785,-1.107,-0.785,0.000,-0.785
1483628483.504,0.002605,0.003750,0.008197,0.016184,0.024459,-0.785,-1.326,-1.249,-0.785,-0.785
1483628489.338,0.005040,0.007349,0.011399,0.016173,0.024377,-0.785,-0.785,-0.785,-0.785,-0.785
1483628495.197,0.003992,0.007349,0.010247,0.014693,0.024377,-0.785,-0.785,-0.785,-1.107,-0.785
1483628501.058,0.002719,0.007362,0.010858,0.016020,0.023045,-0.785,-0.785,-0.785,0.000,-0.785
