time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483714384.280,0.002607,0.003714,0.003353,0.005890,0.007965,-0.785,-0.785,-0.785,-0.785,-0.785
1483714390.113,0.003096,0.003399,0.003383,0.004289,0.007965,-0.785,-0.785,-0.785,-1.107,-0.785
1483714395.924,0.002664,0.003399,0.004530,0.005890,0.007915,-0.785,-0.785,-0.785,-0.785,-0.785
1483714401.842,0.002664,0.002625,0.003383,0.004289,0.007965,-0.785,-0.785,-0.785,-1.107,-0.785
1483714407.781,0.002613,0.003613,0.004272,0.006398,0.006795,-0.785,-0.785,-0.785,-0.785,-0.785
