time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488815697,0.073051,0.073492,0.072578,0.066624,0.045334,-0.785,0,0,0,0.785
1488815703,0.073476,0.073395,0.072729,0.066607,0.045334,0,-0.785,-0.785,0,0.785
1488815709,0.073342,0.073624,0.072249,0.066773,0.045437,0,-0.785,-0.785,-0.785,0.785
1488815715,0.072408,0.073374,0.072081,0.06658,0.045334,-1.107,-0.785,0,0,0.785
1488815721,0.073047,0.073663,0.072677,0.066634,0.045289,0,0,-0.785,0,0.785
,0.0730648,0.0735096,0.0724628,0.0666436,0.0453456,,,,,
