time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488894633,0.65579,0.534693,0.427553,0.328939,0.216282,0,0.785,0,0,0.785
1488894644,0.65139,0.53568,0.425596,0.330279,0.227742,0,0,0.785,0,0.785
1488894656,0.664386,0.536457,0.42516,0.328453,0.218859,0,0,0.785,0,0
1488894697,0.629429,0.538117,0.428838,0.329797,0.221209,-0.785,-0.785,0,0,0
1488894707,0.654186,0.538512,0.426743,0.330243,0.220087,0,0,1.107,0.785,0
,0.6510362,0.5366918,0.426778,0.3295422,0.2208358,,,,,
,0.3255181,0.2683459,0.213389,0.1647711,0.1104179,,,,,
,930.0517143,766.7025714,609.6828571,470.7745714,315.4797143,,,,,
