time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488557498,0.146076,0.072118,0.034669,0.018468,0.008775,0.785,-1.373,-1.107,1.107,0.785
1488557504,0.146793,0.073231,0.034669,0.018449,0.008735,0,1.373,-1.107,1.107,0.785
1488557509,0.144512,0.074889,0.038022,0.018468,0.008775,1.471,0.785,0.785,1.107,0.785
1488557514,0.145131,0.072118,0.036887,0.018468,0.008775,1.249,-1.373,1.326,1.107,0.785
1488557520,0.143766,0.071592,0.035719,0.018497,0.008775,-1.406,-1.249,-1.406,1.107,0.785
,0.1452556,0.0727896,0.0359932,0.01847,0.008767,,,,,
