time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483625416.092,0.002876,0.003625,0.004075,0.004744,0.006038,-0.785,-0.785,-0.785,-0.785,-0.785
1483625421.785,0.002928,0.003625,0.003553,0.005859,0.005965,-0.785,-0.785,-0.785,-0.785,-0.785
1483625427.340,0.002710,0.002858,0.002605,0.003881,0.007097,-0.785,-0.785,-0.785,-1.107,-0.785
1483625432.892,0.002659,0.003309,0.004266,0.005432,0.007109,-0.785,-0.785,-0.785,-0.785,-0.785
1483625438.335,0.002979,0.003625,0.004442,0.005908,0.005999,-0.785,-0.785,-0.785,-0.785,-0.785
1483625444.084,0.002716,0.002530,0.003528,0.004744,0.006005,-0.785,-0.785,-0.785,-0.785,-0.785
1483625449.764,0.002659,0.003222,0.002921,0.005894,0.005965,-0.785,-0.785,-0.785,-0.785,-0.785
1483625455.368,0.002876,0.002958,0.002576,0.003881,0.007109,-0.785,-0.785,-0.785,-1.107,-0.785
