time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303248,0.143981,0.145173,0.144928,0.14053,0.115645,0,-0.785,0,0,-0.785
1488303256,0.144097,0.144847,0.144639,0.13992,0.115661,0,-0.785,-0.785,-0.785,-0.785
1488303265,0.143923,0.145166,0.144903,0.140543,0.115661,0,-0.785,0,0,-0.785
1488303273,0.142987,0.144852,0.1446,0.140458,0.115612,-1.107,-0.785,-0.785,0,-0.785
1488303281,0.143529,0.145121,0.144522,0.13994,0.114506,-0.785,0,0,-0.785,0
,0.1437034,0.1450318,0.1447184,0.1402782,0.115417,,,,,
