time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483627367.461,0.002722,0.003300,0.004272,0.005173,0.006756,-0.785,-0.785,-0.785,-0.785,-0.785
1483627377.320,0.002883,0.003349,0.002611,0.004246,0.007915,-0.785,-0.785,-0.785,-1.107,-0.785
1483627385.032,0.003140,0.002380,0.002611,0.005890,0.007915,-0.785,-0.785,-0.785,-0.785,-0.785
1483627392.768,0.003289,0.002609,0.004481,0.004246,0.007965,-0.785,-0.785,-0.785,-1.107,-0.785
1483627398.509,0.002935,0.002789,0.002611,0.005890,0.007915,-0.785,-0.785,-0.785,-0.785,-0.785
1483627404.359,0.003243,0.003704,0.004481,0.005890,0.007915,-0.785,-0.785,-0.785,-0.785,-0.785
1483627410.212,0.003289,0.002691,0.004696,0.005173,0.006756,-0.785,-0.785,-0.785,-0.785,-0.785
1483627416.014,0.002774,0.003745,0.004696,0.005173,0.006756,-0.785,-0.785,-0.785,-0.785,-0.785
1483627421.961,0.003192,0.003613,0.002990,0.006382,0.006756,-0.785,-0.785,-0.785,-0.785,-0.785
1483627427.706,0.002613,0.003745,0.004272,0.005173,0.006756,-0.785,-0.785,-0.785,-0.785,-0.785
