time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488564109.590,0.146076,0.074475,0.038377,0.019498,0.006768,-1.249,-1.107,-1.107,-1.107,-1.488
1488564114.717,0.143650,0.072640,0.035035,0.017285,0.006816,1.107,1.480,1.107,1.537,-1.499
1488564119.834,0.145081,0.074955,0.038411,0.019498,0.006764,-1.446,-1.107,-1.107,-1.107,-1.494
1488564127.137,0.142622,0.071165,0.038344,0.017284,0.006764,0.000,0.785,-1.107,1.541,-1.494
1488564132.346,0.143888,0.072140,0.035058,0.017285,0.006816,1.249,1.249,1.107,1.537,-1.499
