time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483628536.673,0.005136,0.006437,0.012051,0.017114,0.025103,-0.785,-0.785,-0.785,-0.785,0.000
1483628542.633,0.004968,0.007750,0.012051,0.016744,0.025052,-0.785,-0.785,-0.785,-0.785,0.000
1483628548.639,0.003626,0.005414,0.011495,0.017006,0.025103,-0.785,-1.107,-0.785,-0.785,0.000
1483628554.440,0.002288,0.007684,0.011522,0.016709,0.024876,-1.107,-0.785,-0.785,-0.785,0.000
1483628560.243,0.003498,0.005414,0.011593,0.016886,0.024926,-0.785,-1.107,-0.785,-0.785,0.000
