time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488564418.673,0.384105,0.366205,0.360334,0.346444,0.281220,0.000,0.000,0.000,0.000,0.000
1488564429.471,0.384809,0.366738,0.360092,0.346360,0.281174,0.785,-0.785,0.000,0.000,0.000
1488564440.263,0.383836,0.366763,0.360058,0.348100,0.281195,0.000,-0.785,-0.785,-0.785,0.000
1488564451.072,0.384779,0.365662,0.360058,0.348100,0.280974,0.785,-0.785,-0.785,-0.785,0.000
1488564461.879,0.383875,0.366722,0.360003,0.348180,0.280995,0.000,0.000,-0.785,-0.785,0.000
