time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303686,1.474905,1.678345,1.688779,1.561086,1.135133,-0.785,0,-0.785,-0.785,-0.785
1488303697,1.469026,1.675723,1.690219,1.567498,1.124916,-0.785,0,-0.785,0,-0.785
1488303709,1.508941,1.678379,1.720144,1.561126,1.135195,0,0,0,-0.785,-0.785
1488303721,1.444351,1.678315,1.688962,1.567798,1.124812,-1.107,0,-0.785,0,-0.785
1488303732,1.50858,1.690148,1.691762,1.567879,1.125033,0,-0.785,0,0,-0.785
,1.4811606,1.680182,1.6959732,1.5650774,1.1290178,,,,,
