time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1481655138.316,0.002819,0.002758,0.002921,0.005943,0.006005,-0.785,-0.785,-0.785,-0.785,-0.785
1481655143.699,0.003134,0.003209,0.003553,0.004783,0.006078,-0.785,-0.785,-0.785,-0.785,-0.785
1481655148.992,0.002825,0.003551,0.002921,0.005958,0.006005,-0.785,-0.785,-0.785,-0.785,-0.785
1481655154.289,0.003134,0.002466,0.003212,0.003954,0.007097,-0.785,-0.785,-0.785,-1.107,-0.785
1481655159.655,0.002979,0.003676,0.004492,0.005908,0.006078,-0.785,-0.785,-0.785,-0.785,-0.785
1481655164.988,0.003089,0.002517,0.003256,0.003954,0.007147,-0.785,-0.785,-0.785,-1.107,-0.785
1481655170.301,0.003089,0.002972,0.003852,0.003954,0.007147,-0.785,-0.785,-0.785,-1.107,-0.785
1481655175.632,0.002876,0.003541,0.004492,0.004783,0.006078,-0.785,-0.785,-0.785,-0.785,-0.785
1481655180.977,0.003134,0.002758,0.004492,0.004823,0.006045,-0.785,-0.785,-0.785,-0.785,-0.785
1481655186.280,0.002876,0.003272,0.004442,0.005958,0.006078,-0.785,-0.785,-0.785,-0.785,-0.785
1481655191.584,0.003185,0.003410,0.004095,0.005958,0.006005,-0.785,-0.785,-0.785,-0.785,-0.785
1481655197.373,0.002767,0.002744,0.004492,0.004783,0.006005,-0.785,-0.785,-0.785,-0.785,-0.785
1481655202.934,0.003185,0.003541,0.003553,0.005943,0.006045,-0.785,-0.785,-0.785,-0.785,-0.785
1481655208.795,0.003038,0.003500,0.004315,0.003954,0.007147,-0.785,-0.785,-0.785,-1.107,-0.785
1481655216.288,0.002825,0.003450,0.004315,0.003954,0.007147,-0.785,-0.785,-0.785,-1.107,-0.785
1481655223.217,0.002876,0.002958,0.003256,0.005478,0.007147,-0.785,-0.785,-0.785,-0.785,-0.785
1481655228.520,0.002979,0.003676,0.003553,0.004783,0.006045,-0.785,-0.785,-0.785,-0.785,-0.785
