time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488911495.061,0.890911,0.813496,0.552662,0.356594,0.204293,-0.785,1.373,0.000,0.000,0.000
1488911507.967,0.793449,0.804551,0.552240,0.354110,0.204053,0.785,1.249,0.000,1.460,0.000
1488911518.779,0.769553,0.811688,0.553234,0.352886,0.204062,0.000,0.000,0.000,1.471,0.000
1488911529.759,0.864492,0.787897,0.550182,0.355131,0.204114,0.000,1.107,1.499,1.460,0.000
1488911540.673,0.772091,0.792859,0.551031,0.355319,0.202637,0.000,0.000,1.504,1.471,0.000
