time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483628666.213,0.003435,0.007338,0.011404,0.017929,0.025928,-0.785,-0.785,-0.785,-0.785,0.000
1483628672.147,0.003202,0.007287,0.010432,0.017485,0.025730,-0.785,-0.785,-1.107,0.000,0.000
1483628678.109,0.002228,0.008062,0.012358,0.017585,0.027597,-1.249,-0.785,-0.785,0.000,-0.785
1483628684.040,0.003322,0.005054,0.011520,0.017309,0.027597,-0.785,-1.107,0.000,-0.785,-0.785
1483628689.921,0.005316,0.007606,0.011404,0.018053,0.025928,-0.785,-0.785,-0.785,-0.785,0.000
