time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483628335.329,0.003237,0.003523,0.003311,0.004289,0.007915,-0.785,-0.785,-0.785,-1.107,-0.785
1483628341.212,0.002883,0.002395,0.003992,0.004246,0.007915,-0.785,-0.785,-0.785,-1.107,-0.785
1483628347.017,0.002832,0.003613,0.004272,0.006398,0.006795,-0.785,-0.785,-0.785,-0.785,-0.785
1483628352.879,0.003289,0.002888,0.003657,0.005173,0.006795,-0.785,-0.785,-0.785,-0.785,-0.785
1483628358.710,0.002781,0.002609,0.004530,0.005890,0.007965,-0.785,-0.785,-0.785,-0.785,-0.785
