time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488902940.185,0.027244,0.026623,0.029528,0.034023,0.037395,-0.785,0.000,-0.785,-0.785,-0.785
1488902949.249,0.027242,0.026371,0.028279,0.033112,0.037452,0.000,-0.785,-1.107,-1.107,-0.785
1488902958.976,0.027064,0.026327,0.029323,0.034125,0.037541,0.000,0.000,-0.785,-0.785,-0.785
1488902968.472,0.027242,0.026617,0.029528,0.034278,0.037605,0.000,-0.785,0.000,-0.785,-0.785
1488902977.674,0.027045,0.026241,0.029087,0.033308,0.037482,0.000,0.000,-0.785,-1.107,-0.785
