time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483628596.771,0.002461,0.007672,0.010928,0.017201,0.027433,-1.107,-0.785,-0.785,-0.785,-0.785
1483628602.629,0.003435,0.007943,0.011094,0.017873,0.025474,-0.785,-0.785,-0.785,-0.785,0.000
1483628608.511,0.003900,0.007943,0.011439,0.017873,0.025697,-0.785,-0.785,-0.785,-0.785,0.000
1483628614.354,0.002898,0.007355,0.011439,0.017902,0.025474,-1.107,-0.785,-0.785,-0.785,0.000
1483628620.358,0.004919,0.007799,0.009992,0.017380,0.025697,-0.785,-0.785,-1.107,-0.785,0.000
