time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488911988,0.01758,0.015452,0.013274,0.011207,0.008445,-0.785,0,0,-0.785,0
1488911995,0.01797,0.014428,0.012938,0.011157,0.008399,-0.785,-1.107,0,-0.785,0
1488912001,0.017918,0.014392,0.012938,0.011267,0.008445,-0.785,-1.107,0,0,0
1488912008,0.017316,0.015425,0.012716,0.011157,0.008399,-1.107,-0.785,-0.785,-0.785,0
1488912014,0.017972,0.015414,0.013218,0.011217,0.008445,-0.785,-0.785,0,0,0
,0.0177512,0.0150222,0.0130168,0.011201,0.0084266,,,,,
,25.35885714,21.46028571,18.59542857,16.00142857,12.038,,,,,
