time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488895294.620,0.577817,0.511064,0.429800,0.339198,0.224962,-0.785,0.000,0.000,-0.785,0.785
1488895304.666,0.577332,0.511892,0.429827,0.339339,0.225108,0.000,-0.785,0.000,-0.785,0.785
1488895314.954,0.578395,0.511971,0.429114,0.339716,0.225877,0.000,-0.785,0.000,-0.785,0.785
1488895325.111,0.578820,0.512625,0.430110,0.339382,0.225295,0.000,-0.785,-0.785,-0.785,0.785
1488895335.325,0.577930,0.511485,0.430128,0.338904,0.225298,-0.785,0.000,0.000,0.000,0.785
