time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488814996,0.130431,0.108277,0.068875,0.036999,0.014754,0,0,1.471,1.406,-1.48
1488815002,0.131258,0.106642,0.069879,0.037008,0.014759,0,0.785,0.785,1.406,-1.471
1488815008,0.130928,0.107099,0.069925,0.037008,0.014759,0,0.785,0.785,1.406,-1.471
1488815014,0.131043,0.108143,0.068875,0.038901,0.014759,0,0,1.471,0,-1.471
1488815021,0.130464,0.107855,0.070904,0.038901,0.014754,0,0,0,0,-1.48
,0.1308248,0.1076032,0.0696916,0.0377634,0.014757,,,,,
