time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488814640,0.071087,0.067476,0.054762,0.034341,0.014743,0,0,0,1.107,1.535
1488814648,0.071612,0.066497,0.054724,0.034321,0.014741,-0.785,0.785,0,1.107,1.539
1488814653,0.071495,0.066497,0.05567,0.035912,0.014743,-0.785,0.785,0,0,1.535
1488814659,0.071793,0.067524,0.055414,0.034321,0.014743,-0.785,0,0,1.107,1.535
1488814665,0.070902,0.067237,0.054724,0.035912,0.016915,0,0,0,0,0.785
,0.0713778,0.0670462,0.0550588,0.0349614,0.015177,,,,,
