time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488557680.468,1.428469,0.716567,0.358004,0.172224,0.072187,1.107,-1.107,-1.373,-1.107,1.107
1488557687.622,1.352940,0.717443,0.358886,0.174528,0.072293,-1.107,-1.512,1.406,1.326,1.107
1488557695.228,1.382238,0.716566,0.358834,0.172177,0.072467,-1.488,-1.107,1.406,-1.107,1.107
1488557703.418,1.325682,0.717221,0.358854,0.174556,0.072545,0.000,-1.326,1.406,1.326,1.107
1488557713.439,1.375673,0.717016,0.360423,0.172150,0.072225,-1.373,-1.249,0.785,-1.107,1.107
