time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488557150,0.146117,0.074196,0.036786,0.01842,0.008742,0.785,0.785,1.326,1.107,0.785
1488557155,0.144042,0.074169,0.036786,0.016111,0.008742,1.471,0.785,1.326,-1.249,0.785
1488557161,0.146191,0.074196,0.034498,0.016131,0.008742,0.785,0.785,-1.107,-1.249,0.785
1488557167,0.145887,0.073018,0.034498,0.016131,0.008742,0.785,1.373,-1.107,-1.249,0.785
1488557172,0.144042,0.070803,0.036774,0.01842,0.008775,1.471,-1.107,1.326,1.107,0.785
,0.1452558,0.0732764,0.0358684,0.0170426,0.0087486,,,,,
