time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303762,1.490238,1.751145,1.829731,1.712502,1.179523,0,0,0,0,0
1488303773,1.512626,1.723884,1.829501,1.71239,1.17941,-0.785,-0.785,0,0,0
1488303785,1.569026,1.834889,1.876794,1.703011,1.166738,-0.785,0,-0.785,-0.785,0
1488303797,1.61656,1.723867,1.913786,1.712301,1.179338,0,-0.785,0,0,0
1488303809,1.537646,1.801062,1.87686,1.712259,1.179387,-0.785,-0.785,-0.785,0,0
,1.5452192,1.7669694,1.8653344,1.7104926,1.1768792,,,,,
