time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1488303304,0.360009,0.363637,0.363016,0.35269,0.289032,-0.785,0,0,0,-0.785
1488303315,0.361334,0.363678,0.363777,0.350431,0.289048,-0.785,0,-0.785,-0.785,-0.785
1488303326,0.360108,0.36373,0.363109,0.350431,0.289048,-0.785,0,-0.785,-0.785,-0.785
1488303338,0.361421,0.363433,0.362963,0.352673,0.290241,-0.785,-0.785,0,0,-0.785
1488303349,0.360204,0.363845,0.363303,0.352733,0.289032,-0.785,0,0,0,-0.785
,0.3606152,0.3636646,0.3632336,0.3517916,0.2892802,,,,,
