time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956632,0.361024,0.363339,0.364015,0.35122,0.286024,0,-1.107,0,0,0
1487956643,0.360292,0.363686,0.36272,0.35123,0.286109,-0.785,0,-0.785,0,0
1487956654,0.359947,0.363462,0.364022,0.351355,0.286063,-1.107,-0.785,0,0,0
1487956664,0.36051,0.363677,0.362731,0.352349,0.286039,0,0,-0.785,-0.785,0
1487956675,0.359928,0.363694,0.363154,0.352349,0.286039,-0.785,0,0,-0.785,0
,0.3603402,0.3635716,0.3633284,0.3517006,0.2860548,,,,,
