time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487957070,1.569426,1.726243,1.754879,1.7482,1.243128,-0.785,0,-0.785,0,0.785
1487957081,1.51994,1.784489,1.724048,1.748184,1.23151,-1.107,-0.785,0,0,0.785
1487957093,1.539596,1.718176,1.724421,1.748016,1.243371,-0.785,0,0,0,0.785
1487957104,1.522894,1.793986,1.949869,1.748151,1.23145,-0.785,0,-0.785,0,0.785
1487957115,1.520631,1.792078,1.950694,1.747626,1.23145,-0.785,-0.785,-0.785,0,0.785
,1.5344974,1.7629944,1.8207822,1.7480354,1.2361818,,,,,
