time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956846,1.048541,1.057926,1.058805,1.011814,0.788659,-0.785,-0.785,-0.785,-0.785,0
1487956857,1.048604,1.058795,1.059264,1.021819,0.789211,-0.785,-0.785,0,-0.785,0
1487956868,1.049054,1.058636,1.05745,1.022301,0.788713,-0.785,0,0,-0.785,0
1487956878,1.048604,1.059276,1.057028,1.015676,0.788713,-0.785,-1.107,-0.785,0,0
1487956889,1.051279,1.058808,1.057086,1.015822,0.789264,-0.785,-0.785,-0.785,0,0
,1.0492164,1.0586882,1.0579266,1.0174864,0.788912,,,,,
