time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956994,1.455273,1.687021,1.694955,1.558584,1.167664,-0.785,0,-0.785,-0.785,0
1487957004,1.592871,1.67715,1.704297,1.562541,1.174858,-0.785,-0.785,0,0,0
1487957015,1.546787,1.683392,1.687284,1.565066,1.174663,0,-0.785,-0.785,0,0
1487957026,1.611387,1.682807,1.69508,1.565156,1.174712,-0.785,-0.785,-0.785,0,0
1487957037,1.546991,1.687237,1.695001,1.564992,1.167625,0,0,-0.785,0,0
,1.5506618,1.6835214,1.6953234,1.5632678,1.1719044,,,,,
