time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956706,0.528201,0.533465,0.532655,0.516519,0.425091,-0.785,0,0,-0.785,-0.785
1487956716,0.528347,0.532976,0.532495,0.517298,0.424828,-0.785,-0.785,0,0,-0.785
1487956727,0.528834,0.53368,0.533461,0.51733,0.424984,0,0,-0.785,0,-0.785
1487956738,0.529831,0.533648,0.533467,0.51737,0.424953,-0.785,0,-0.785,0,-0.785
1487956749,0.529368,0.533567,0.533518,0.513887,0.424938,0,-0.785,-0.785,-0.785,-0.785
,0.5289162,0.5334672,0.5331192,0.5164808,0.4249588,,,,,
