time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956340,0.14233,0.144482,0.144627,0.139982,0.115251,-1.107,0,-0.785,0,-0.785
1487956349,0.143104,0.144643,0.144144,0.140024,0.115727,0,0,-0.785,0,-0.785
1487956357,0.142935,0.144379,0.144043,0.140052,0.115251,-0.785,-0.785,0,0,-0.785
1487956366,0.143331,0.144379,0.14445,0.140052,0.115301,0,-0.785,0,0,-0.785
1487956374,0.143632,0.14428,0.144176,0.139462,0.115727,0,0,-0.785,-0.785,-0.785
,0.1430664,0.1444326,0.144288,0.1399144,0.1154514,,,,,
