time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956778,0.705765,0.713015,0.711426,0.690052,0.560723,-0.785,0,-0.785,-0.785,-0.785
1487956789,0.707311,0.712662,0.712841,0.686692,0.560751,0,0,-0.785,-0.785,-0.785
1487956800,0.706072,0.713144,0.711717,0.68665,0.55914,-0.785,0,0,-0.785,-0.785
1487956810,0.707121,0.71287,0.711881,0.686659,0.559147,-0.785,-0.785,0,-0.785,-0.785
1487956821,0.706549,0.713409,0.71288,0.68658,0.561499,0,0,-0.785,-0.785,-0.785
,0.7065636,0.71302,0.712149,0.6873266,0.560252,,,,,
