time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1487956916,1.354019,1.413755,1.412185,1.331681,1.03495,0,-0.785,0,0,-0.785
1487956926,1.374664,1.414359,1.412226,1.317613,1.035017,-0.785,0,0,-0.785,-0.785
1487956937,1.37503,1.430701,1.411718,1.315747,1.034958,-0.785,-0.785,0,-0.785,-0.785
1487956948,1.29842,1.408468,1.412021,1.317713,1.042483,-1.107,0,-0.785,-0.785,-0.785
1487956959,1.384622,1.420399,1.41229,1.315683,1.034898,-0.785,-0.785,0,-0.785,-0.785
,1.357351,1.4175364,1.412088,1.3196874,1.0364612,,,,,
